ColumnIndex,StockCode
0,10002
1,10002R
2,10080
3,10109
4,10120
5,10123C
6,10123G
7,10124A
8,10124G
9,10125
10,10133
11,10134
12,10135
13,10138
14,11001
15,15030
16,15034
17,15036
18,15039
19,15044A
20,15044B
21,15044C
22,15044D
23,15056BL
24,15056N
25,15056P
26,15058A
27,15058B
28,15058C
29,15059A
30,15060B
31,16008
32,16010
33,16011
34,16012
35,16014
36,16015
37,16016
38,16020C
39,16033
40,16043
41,16044
42,16045
43,16046
44,16047
45,16048
46,16049
47,16050
48,16051
49,16052
50,16053
51,16054
52,16119
53,16151A
54,16156L
55,16156N
56,16156S
57,16161C
58,16161E
59,16161G
60,16161M
61,16161P
62,16161U
63,16162L
64,16162M
65,16168M
66,16168S
67,16169A
68,16169C
69,16169D
70,16169E
71,16169F
72,16169G
73,16169K
74,16169M
75,16169N
76,16169P
77,16192
78,16201A
79,16201B
80,16202A
81,16202B
82,16202C
83,16202E
84,16206B
85,16207A
86,16207B
87,16212
88,16215
89,16216
90,16218
91,16219
92,16225
93,16235
94,16236
95,16237
96,16238
97,16239
98,16243B
99,16244A
100,16244B
101,16245A
102,16248B
103,16254
104,16256B
105,16256C
106,16258A
107,16258B
108,16259
109,17001
110,17003
111,17007B
112,17011A
113,17011B
114,17011C
115,17011D
116,17011E
117,17011F
118,17012A
119,17012B
120,17012C
121,17012D
122,17012E
123,17012F
124,17013B
125,17013C
126,17013D
127,17013F
128,17014A
129,17014C
130,17014D
131,17014E
132,17014F
133,17021
134,17027A
135,17028J
136,17033
137,17038
138,17039
139,17061
140,17084A
141,17084G
142,17084J
143,17084N
144,17084P
145,17084R
146,17090A
147,17090D
148,17091A
149,17091B
150,17091F
151,17091J
152,17096
153,17107D
154,17108D
155,17109A
156,17109B
157,17109C
158,17109D
159,17129C
160,17129D
161,17129F
162,17136A
163,17164B
164,17164D
165,17165B
166,17165D
167,17174
168,17178
169,17181
170,17191A
171,18007
172,18010
173,18094C
174,18096C
175,18097A
176,18097B
177,18097C
178,18098A
179,18098B
180,18098C
181,20615
182,20616
183,20617
184,20618
185,20619
186,20620
187,20621
188,20622
189,20652
190,20653
191,20654
192,20655
193,20657
194,20658
195,20659
196,20660
197,20661
198,20662
199,20663
200,20664
201,20665
202,20666
203,20667
204,20668
205,20669
206,20670
207,20671
208,20672
209,20673
210,20674
211,20675
212,20676
213,20677
214,20678
215,20679
216,20680
217,20681
218,20682
219,20683
220,20684
221,20685
222,20686
223,20688
224,20689
225,20692
226,20693
227,20694
228,20695
229,20696
230,20697
231,20698
232,20699
233,20700
234,20701
235,20702
236,20703
237,20704
238,20705
239,20707
240,20711
241,20712
242,20713
243,20714
244,20715
245,20716
246,20717
247,20718
248,20719
249,20721
250,20723
251,20724
252,20725
253,20726
254,20727
255,20728
256,20729
257,20730
258,20731
259,20733
260,20734
261,20735
262,20736
263,20737
264,20738
265,20739
266,20747
267,20748
268,20749
269,20750
270,20751
271,20752
272,20753
273,20754
274,20755
275,20756
276,20757
277,20758
278,20759
279,20760
280,20761
281,20762
282,20763
283,20764
284,20765
285,20766
286,20767
287,20768
288,20769
289,20770
290,20771
291,20772
292,20773
293,20774
294,20775
295,20776
296,20777
297,20778
298,20780
299,20781
300,20782
301,20783
302,20784
303,20785
304,20786
305,20787
306,20791
307,20793
308,20794
309,20795
310,20796
311,20798
312,20799
313,20800
314,20801
315,20802
316,20803
317,20804
318,20812
319,20814
320,20816
321,20818
322,20819
323,20820
324,20821
325,20822
326,20823
327,20825
328,20826
329,20827
330,20828
331,20829
332,20830
333,20831
334,20832
335,20833
336,20835
337,20836
338,20837
339,20838
340,20839
341,20840
342,20845
343,20846
344,20847
345,20848
346,20849
347,20850
348,20851
349,20854
350,20855
351,20856
352,20857
353,20858
354,20860
355,20861
356,20862
357,20863
358,20864
359,20865
360,20866
361,20867
362,20868
363,20869
364,20870
365,20871
366,20877
367,20878
368,20879
369,20881
370,20882
371,20884
372,20885
373,20886
374,20887
375,20888
376,20889
377,20890
378,20891
379,20892
380,20893
381,20894
382,20895
383,20896
384,20897
385,20898
386,20899
387,20901
388,20902
389,20903
390,20905
391,20906
392,20910
393,20913
394,20914
395,20931
396,20932
397,20933
398,20934
399,20935
400,20936
401,20939
402,20940
403,20941
404,20942
405,20943
406,20950
407,20952
408,20953
409,20954
410,20956
411,20957
412,20958
413,20960
414,20961
415,20963
416,20964
417,20966
418,20967
419,20968
420,20969
421,20970
422,20971
423,20972
424,20973
425,20974
426,20975
427,20976
428,20977
429,20978
430,20979
431,20980
432,20981
433,20982
434,20983
435,20984
436,20985
437,20986
438,20987
439,20988
440,20989
441,20990
442,20991
443,20992
444,20993
445,20994
446,20996
447,20997
448,20998
449,21000
450,21001
451,21002
452,21003
453,21004
454,21007
455,21008
456,21009
457,21010
458,21011
459,21012
460,21014
461,21015
462,21016
463,21017
464,21018
465,21025
466,21026
467,21027
468,21028
469,21030
470,21031
471,21032
472,21033
473,21034
474,21035
475,21036
476,21038
477,21039
478,21040
479,21041
480,21042
481,21043
482,21051
483,21054
484,21055
485,21056
486,21058
487,21059
488,21060
489,21061
490,21062
491,21063
492,21064
493,21065
494,21066
495,21067
496,21068
497,21069
498,21070
499,21071
500,21076
501,21077
502,21078
503,21080
504,21081
505,21082
506,21084
507,21085
508,21086
509,21087
510,21088
511,21089
512,21090
513,21091
514,21092
515,21094
516,21095
517,21096
518,21097
519,21098
520,21099
521,21100
522,21102
523,21106
524,21107
525,21108
526,21109
527,21110
528,21111
529,21112
530,21114
531,21115
532,21116
533,21117
534,21118
535,21119
536,21120
537,21121
538,21122
539,21123
540,21124
541,21125
542,21126
543,21127
544,21128
545,21129
546,21130
547,21131
548,21132
549,21133
550,21134
551,21135
552,21136
553,21137
554,21143
555,21144
556,21145
557,21146
558,21147
559,21153
560,21154
561,21155
562,21156
563,21157
564,21158
565,21159
566,21160
567,21161
568,21162
569,21163
570,21164
571,21165
572,21166
573,21167
574,21169
575,21171
576,21172
577,21173
578,21174
579,21175
580,21179
581,21181
582,21185
583,21186
584,21187
585,21188
586,21189
587,21190
588,21191
589,21192
590,21193
591,21194
592,21195
593,21196
594,21197
595,21198
596,21199
597,21200
598,21201
599,21202
600,21203
601,21204
602,21205
603,21206
604,21207
605,21208
606,21209
607,21210
608,21211
609,21212
610,21213
611,21214
612,21215
613,21216
614,21217
615,21218
616,21219
617,21220
618,21221
619,21222
620,21223
621,21224
622,21225
623,21226
624,21228
625,21231
626,21232
627,21238
628,21239
629,21240
630,21241
631,21242
632,21243
633,21244
634,21245
635,21246
636,21247
637,21248
638,21249
639,21250
640,21251
641,21252
642,21253
643,21255
644,21256
645,21257
646,21258
647,21259
648,21260
649,21261
650,21262
651,21263
652,21264
653,21265
654,21266
655,21267
656,21268
657,21269
658,21270
659,21272
660,21274
661,21275
662,21276
663,21277
664,21278
665,21279
666,21280
667,21281
668,21282
669,21283
670,21284
671,21285
672,21286
673,21287
674,21288
675,21289
676,21290
677,21291
678,21292
679,21293
680,21294
681,21298
682,21299
683,21300
684,21303
685,21304
686,21306
687,21307
688,21308
689,21309
690,21310
691,21311
692,21312
693,21313
694,21314
695,21316
696,21317
697,21318
698,21319
699,21320
700,21321
701,21322
702,21323
703,21324
704,21326
705,21327
706,21328
707,21329
708,21330
709,21331
710,21332
711,21333
712,21335
713,21336
714,21337
715,21338
716,21339
717,21340
718,21341
719,21343
720,21344
721,21347
722,21348
723,21349
724,21350
725,21351
726,21352
727,21353
728,21354
729,21355
730,21356
731,21357
732,21358
733,21359
734,21360
735,21361
736,21363
737,21364
738,21365
739,21366
740,21367
741,21368
742,21369
743,21370
744,21371
745,21372
746,21373
747,21374
748,21375
749,21376
750,21377
751,21378
752,21379
753,21380
754,21381
755,21382
756,21383
757,21384
758,21385
759,21386
760,21387
761,21388
762,21389
763,21390
764,21391
765,21392
766,21393
767,21394
768,21395
769,21396
770,21397
771,21398
772,21399
773,21400
774,21401
775,21402
776,21403
777,21406
778,21407
779,21408
780,21409
781,21410
782,21411
783,21412
784,21413
785,21414
786,21415
787,21416
788,21417
789,21418
790,21419
791,21420
792,21421
793,21422
794,21424
795,21425
796,21426
797,21427
798,21428
799,21429
800,21430
801,21431
802,21432
803,21437
804,21438
805,21439
806,21440
807,21441
808,21442
809,21443
810,21444
811,21445
812,21446
813,21447
814,21448
815,21450
816,21452
817,21454
818,21455
819,21456
820,21457
821,21458
822,21459
823,21460
824,21461
825,21462
826,21463
827,21464
828,21465
829,21466
830,21467
831,21468
832,21469
833,21470
834,21471
835,21472
836,21473
837,21474
838,21475
839,21476
840,21477
841,21478
842,21479
843,21480
844,21481
845,21482
846,21484
847,21485
848,21486
849,21488
850,21489
851,21490
852,21491
853,21493
854,21494
855,21495
856,21496
857,21497
858,21498
859,21499
860,21500
861,21503
862,21504
863,21506
864,21507
865,21508
866,21509
867,21511
868,21518
869,21519
870,21520
871,21523
872,21524
873,21525
874,21527
875,21528
876,21529
877,21530
878,21531
879,21532
880,21533
881,21534
882,21535
883,21536
884,21537
885,21538
886,21539
887,21540
888,21541
889,21542
890,21543
891,21544
892,21545
893,21547
894,21548
895,21549
896,21550
897,21551
898,21552
899,21553
900,21554
901,21555
902,21556
903,21557
904,21558
905,21559
906,21560
907,21561
908,21562
909,21563
910,21564
911,21576
912,21577
913,21578
914,21579
915,21580
916,21581
917,21582
918,21584
919,21585
920,21586
921,21587
922,21588
923,21589
924,21590
925,21591
926,21592
927,21593
928,21594
929,21595
930,21596
931,21609
932,21610
933,21611
934,21612
935,21613
936,21614
937,21615
938,21616
939,21617
940,21618
941,21619
942,21620
943,21621
944,21622
945,21623
946,21624
947,21625
948,21626
949,21627
950,21628
951,21629
952,21630
953,21631
954,21632
955,21633
956,21634
957,21635
958,21636
959,21637
960,21638
961,21639
962,21640
963,21641
964,21642
965,21643
966,21644
967,21645
