RowIndex,TransactionID
0,Year 2009-2010::489434
1,Year 2009-2010::489435
2,Year 2009-2010::489436
3,Year 2009-2010::489437
4,Year 2009-2010::489438
5,Year 2009-2010::489439
6,Year 2009-2010::489440
7,Year 2009-2010::489441
8,Year 2009-2010::489442
9,Year 2009-2010::489443
10,Year 2009-2010::489445
11,Year 2009-2010::489446
12,Year 2009-2010::489448
13,Year 2009-2010::489450
14,Year 2009-2010::489460
15,Year 2009-2010::489461
16,Year 2009-2010::489462
17,Year 2009-2010::489465
18,Year 2009-2010::489488
19,Year 2009-2010::489505
20,Year 2009-2010::489514
21,Year 2009-2010::489517
22,Year 2009-2010::489519
23,Year 2009-2010::489520
24,Year 2009-2010::489522
25,Year 2009-2010::489523
26,Year 2009-2010::489525
27,Year 2009-2010::489526
28,Year 2009-2010::489529
29,Year 2009-2010::489531
30,Year 2009-2010::489532
31,Year 2009-2010::489533
32,Year 2009-2010::489536
33,Year 2009-2010::489537
34,Year 2009-2010::489539
35,Year 2009-2010::489540
36,Year 2009-2010::489542
37,Year 2009-2010::489544
38,Year 2009-2010::489545
39,Year 2009-2010::489546
40,Year 2009-2010::489547
41,Year 2009-2010::489548
42,Year 2009-2010::489550
43,Year 2009-2010::489552
44,Year 2009-2010::489556
45,Year 2009-2010::489557
46,Year 2009-2010::489558
47,Year 2009-2010::489559
48,Year 2009-2010::489560
49,Year 2009-2010::489561
50,Year 2009-2010::489562
51,Year 2009-2010::489564
52,Year 2009-2010::489566
53,Year 2009-2010::489567
54,Year 2009-2010::489569
55,Year 2009-2010::489571
56,Year 2009-2010::489572
57,Year 2009-2010::489573
58,Year 2009-2010::489574
59,Year 2009-2010::489575
60,Year 2009-2010::489576
61,Year 2009-2010::489579
62,Year 2009-2010::489580
63,Year 2009-2010::489581
64,Year 2009-2010::489582
65,Year 2009-2010::489584
66,Year 2009-2010::489585
67,Year 2009-2010::489586
68,Year 2009-2010::489590
69,Year 2009-2010::489593
70,Year 2009-2010::489594
71,Year 2009-2010::489596
72,Year 2009-2010::489597
73,Year 2009-2010::489598
74,Year 2009-2010::489599
75,Year 2009-2010::489600
76,Year 2009-2010::489601
77,Year 2009-2010::489602
78,Year 2009-2010::489603
79,Year 2009-2010::489604
80,Year 2009-2010::489606
81,Year 2009-2010::489607
82,Year 2009-2010::489608
83,Year 2009-2010::489609
84,Year 2009-2010::489611
85,Year 2009-2010::489612
86,Year 2009-2010::489613
87,Year 2009-2010::489614
88,Year 2009-2010::489615
89,Year 2009-2010::489616
90,Year 2009-2010::489617
91,Year 2009-2010::489618
92,Year 2009-2010::489619
93,Year 2009-2010::489634
94,Year 2009-2010::489635
95,Year 2009-2010::489637
96,Year 2009-2010::489638
97,Year 2009-2010::489639
98,Year 2009-2010::489640
99,Year 2009-2010::489641
100,Year 2009-2010::489642
101,Year 2009-2010::489644
102,Year 2009-2010::489645
103,Year 2009-2010::489650
104,Year 2009-2010::489652
105,Year 2009-2010::489653
106,Year 2009-2010::489654
107,Year 2009-2010::489656
108,Year 2009-2010::489657
109,Year 2009-2010::489658
110,Year 2009-2010::489661
111,Year 2009-2010::489662
112,Year 2009-2010::489664
113,Year 2009-2010::489665
114,Year 2009-2010::489666
115,Year 2009-2010::489667
116,Year 2009-2010::489668
117,Year 2009-2010::489669
118,Year 2009-2010::489670
119,Year 2009-2010::489671
120,Year 2009-2010::489672
121,Year 2009-2010::489673
122,Year 2009-2010::489674
123,Year 2009-2010::489675
124,Year 2009-2010::489676
125,Year 2009-2010::489677
126,Year 2009-2010::489678
127,Year 2009-2010::489679
128,Year 2009-2010::489680
129,Year 2009-2010::489681
130,Year 2009-2010::489682
131,Year 2009-2010::489683
132,Year 2009-2010::489684
133,Year 2009-2010::489687
134,Year 2009-2010::489688
135,Year 2009-2010::489695
136,Year 2009-2010::489699
137,Year 2009-2010::489702
138,Year 2009-2010::489705
139,Year 2009-2010::489723
140,Year 2009-2010::489725
141,Year 2009-2010::489726
142,Year 2009-2010::489727
143,Year 2009-2010::489728
144,Year 2009-2010::489733
145,Year 2009-2010::489743
146,Year 2009-2010::489748
147,Year 2009-2010::489764
148,Year 2009-2010::489765
149,Year 2009-2010::489766
150,Year 2009-2010::489780
151,Year 2009-2010::489782
152,Year 2009-2010::489783
153,Year 2009-2010::489784
154,Year 2009-2010::489785
155,Year 2009-2010::489786
156,Year 2009-2010::489787
157,Year 2009-2010::489788
158,Year 2009-2010::489789
159,Year 2009-2010::489790
160,Year 2009-2010::489791
161,Year 2009-2010::489792
162,Year 2009-2010::489793
163,Year 2009-2010::489794
164,Year 2009-2010::489795
165,Year 2009-2010::489796
166,Year 2009-2010::489797
167,Year 2009-2010::489798
168,Year 2009-2010::489800
169,Year 2009-2010::489801
170,Year 2009-2010::489802
171,Year 2009-2010::489804
172,Year 2009-2010::489805
173,Year 2009-2010::489807
174,Year 2009-2010::489808
175,Year 2009-2010::489809
176,Year 2009-2010::489810
177,Year 2009-2010::489811
178,Year 2009-2010::489812
179,Year 2009-2010::489814
180,Year 2009-2010::489815
181,Year 2009-2010::489816
182,Year 2009-2010::489817
183,Year 2009-2010::489818
184,Year 2009-2010::489819
185,Year 2009-2010::489822
186,Year 2009-2010::489823
187,Year 2009-2010::489824
188,Year 2009-2010::489825
189,Year 2009-2010::489826
190,Year 2009-2010::489827
191,Year 2009-2010::489829
192,Year 2009-2010::489830
193,Year 2009-2010::489831
194,Year 2009-2010::489832
195,Year 2009-2010::489833
196,Year 2009-2010::489834
197,Year 2009-2010::489835
198,Year 2009-2010::489837
199,Year 2009-2010::489840
200,Year 2009-2010::489855
201,Year 2009-2010::489856
202,Year 2009-2010::489857
203,Year 2009-2010::489861
