RuleKey,AntecedentKey,ConsequentKey,AntecedentItems,ConsequentItems,AntecedentLength,ConsequentLength,AntecedentSupport,ConsequentSupport,Support,Confidence,ReverseConfidence,Lift,Leverage,Conviction,Kulczynski,Cosine,AllConfidence,MaxConfidence,ImbalanceRatio,ConfidenceGapVsConsequentBaseRate,ExpectedSupportUnderIndependence,ChiSquare,NonPositiveDependence,WeakPositiveDependence,DirectionalConfidenceImbalance,MisleadingCandidate,DiagnosticFlags
"[""20719"",""20723"",""22355"",""22356""] -> [""20724""]","[""20719"",""20723"",""22355"",""22356""]","[""20724""]",20719 — WOODLAND CHARLOTTE BAG | 20723 — STRAWBERRY CHARLOTTE BAG | 22355 — CHARLOTTE BAG SUKI DESIGN | 22356 — CHARLOTTE BAG PINK POLKADOT,20724 — RED RETROSPOT CHARLOTTE BAG,4,1,0.009616357930964672,0.05149812734082397,0.008781253163275635,0.9131578947368422,0.1705159705159705,17.731866028708136,0.008286028737991873,10.922142776075368,0.5418369326264063,0.3945985360532564,0.1705159705159705,0.9131578947368422,0.8002901353965184,0.8616597673960182,0.0004952244252837613,5832.062093681103,False,False,True,True,high directional confidence imbalance
"[""20723"",""20725"",""22356""] -> [""20724""]","[""20723"",""20725"",""22356""]","[""20724""]",20723 — STRAWBERRY CHARLOTTE BAG | 20725 — LUNCH BAG RED RETROSPOT | 22356 — CHARLOTTE BAG PINK POLKADOT,20724 — RED RETROSPOT CHARLOTTE BAG,3,1,0.009034315214090495,0.05149812734082397,0.007946148395586598,0.8795518207282914,0.15429975429975432,17.079297173414822,0.007480898080254222,7.874771361379677,0.5169257875140228,0.36839466585752423,0.15429975429975432,0.8795518207282914,0.807507218479307,0.8280536933874675,0.00046525031533237567,5057.046742775794,False,False,True,True,high directional confidence imbalance
"[""21212"",""22355"",""22356""] -> [""20724""]","[""21212"",""22355"",""22356""]","[""20724""]",21212 — PACK OF 72 RETROSPOT CAKE CASES | 22355 — CHARLOTTE BAG SUKI DESIGN | 22356 — CHARLOTTE BAG PINK POLKADOT,20724 — RED RETROSPOT CHARLOTTE BAG,3,1,0.009236764854742383,0.05149812734082397,0.008123291831157,0.8794520547945206,0.15773955773955775,17.0773599003736,0.00764761573845023,7.868254170922714,0.5185958062670392,0.37245721657182723,0.15773955773955775,0.8794520547945206,0.8032708032708034,0.8279539274536967,0.00047567609270677066,5170.180360109952,False,False,True,True,high directional confidence imbalance
"[""20725"",""22355"",""22356""] -> [""20724""]","[""20725"",""22355"",""22356""]","[""20724""]",20725 — LUNCH BAG RED RETROSPOT | 22355 — CHARLOTTE BAG SUKI DESIGN | 22356 — CHARLOTTE BAG PINK POLKADOT,20724 — RED RETROSPOT CHARLOTTE BAG,3,1,0.009768195161453589,0.05149812734082397,0.008553497317542262,0.8756476683937824,0.16609336609336608,17.003485633537448,0.008050453559227705,7.627535892634207,0.5208705172435742,0.3813650072507058,0.16609336609336608,0.8756476683937824,0.7916466634661546,0.8241495410529585,0.0005030437583145575,5420.418842313754,False,False,True,True,high directional confidence imbalance
"[""20723"",""20725"",""22355""] -> [""20724""]","[""20723"",""20725"",""22355""]","[""20724""]",20723 — STRAWBERRY CHARLOTTE BAG | 20725 — LUNCH BAG RED RETROSPOT | 22355 — CHARLOTTE BAG SUKI DESIGN,20724 — RED RETROSPOT CHARLOTTE BAG,3,1,0.00875594695819415,0.05149812734082397,0.00761716772952728,0.8699421965317918,0.1479115479115479,16.892695743562793,0.007166252858084698,7.2929255097794385,0.5089268722216699,0.3587122759017167,0.1479115479115479,0.8699421965317918,0.8120192307692308,0.8184440691909679,0.0004509148714425826,4786.7846143072065,False,False,True,True,high directional confidence imbalance
"[""20719"",""21212"",""22356""] -> [""20724""]","[""20719"",""21212"",""22356""]","[""20724""]",20719 — WOODLAND CHARLOTTE BAG | 21212 — PACK OF 72 RETROSPOT CAKE CASES | 22356 — CHARLOTTE BAG PINK POLKADOT,20724 — RED RETROSPOT CHARLOTTE BAG,3,1,0.008983702803927523,0.05149812734082397,0.007794311165097682,0.8676056338028169,0.15135135135135136,16.84732394366197,0.007331667294108905,7.164216272212923,0.5094784925770841,0.362371749886911,0.15135135135135136,0.8676056338028169,0.8069164265129682,0.8161075064619929,0.000462643870988777,4884.416301704484,False,False,True,True,high directional confidence imbalance
"[""20719"",""20725"",""22355""] -> [""20724""]","[""20719"",""20725"",""22355""]","[""20724""]",20719 — WOODLAND CHARLOTTE BAG | 20725 — LUNCH BAG RED RETROSPOT | 22355 — CHARLOTTE BAG SUKI DESIGN,20724 — RED RETROSPOT CHARLOTTE BAG,3,1,0.008857171778520093,0.05149812734082397,0.007515942909201336,0.8485714285714286,0.14594594594594595,16.47771428571429,0.007059815149071556,6.263691611900223,0.49725868725868727,0.3519169786264366,0.14594594594594595,0.8485714285714286,0.8069923371647509,0.7970733012306047,0.00045612776012978005,4593.023807530661,False,False,True,True,high directional confidence imbalance
"[""21931"",""22386"",""85099C""] -> [""85099B""]","[""21931"",""22386"",""85099C""]","[""85099B""]",21931 — JUMBO STORAGE BAG SUKI | 22386 — JUMBO BAG PINK POLKADOT | 85099C — JUMBO BAG BAROQUE BLACK WHITE,85099B — JUMBO BAG RED RETROSPOT,3,1,0.010223706852920336,0.10155380099200324,0.008553497317542262,0.8366336633663367,0.08422626463992026,8.238329389878933,0.00751524102640021,5.49957976362471,0.46042996400312847,0.2654553226766399,0.08422626463992026,0.8366336633663367,0.8847756803138025,0.7350798623743334,0.0010382562911420516,2417.2697076034874,False,False,True,True,high directional confidence imbalance
"[""21928"",""21931"",""22386""] -> [""85099B""]","[""21928"",""21931"",""22386""]","[""85099B""]",21928 — JUMBO BAG SCANDINAVIAN PAISLEY | 21931 — JUMBO STORAGE BAG SUKI | 22386 — JUMBO BAG PINK POLKADOT,85099B — JUMBO BAG RED RETROSPOT,3,1,0.00913554003441644,0.10155380099200324,0.007642473934608766,0.8365650969529085,0.07525541988537253,8.237654216593853,0.00671472511999916,5.4972725057946885,0.4559102584191405,0.25091045739992285,0.07525541988537253,0.8365650969529085,0.8968565815324164,0.7350112959609052,0.0009277488146096055,2157.2114601759304,False,False,True,True,high directional confidence imbalance
"[""21928"",""22386"",""22411""] -> [""85099B""]","[""21928"",""22386"",""22411""]","[""85099B""]",21928 — JUMBO BAG SCANDINAVIAN PAISLEY | 22386 — JUMBO BAG PINK POLKADOT | 22411 — JUMBO SHOPPER VINTAGE RED PAISLEY,85099B — JUMBO BAG RED RETROSPOT,3,1,0.009869419981779532,0.10155380099200324,0.00824982285656443,0.8358974358974359,0.08123598305507101,8.231079760010735,0.00724754574382829,5.474906525204981,0.45856670947625344,0.26058578230275997,0.08123598305507101,0.8358974358974359,0.8886436104979151,0.7343436349054326,0.0010022771127361388,2327.997685937985,False,False,True,True,high directional confidence imbalance
