RuleKey,AntecedentKey,ConsequentKey,AntecedentItems,ConsequentItems,AntecedentLength,ConsequentLength,AntecedentSupport,ConsequentSupport,Support,Confidence,ReverseConfidence,Lift,Leverage,Conviction,Kulczynski,Cosine,AllConfidence,MaxConfidence,ImbalanceRatio,ConfidenceGapVsConsequentBaseRate,ExpectedSupportUnderIndependence,ChiSquare,NonPositiveDependence,WeakPositiveDependence,DirectionalConfidenceImbalance,MisleadingCandidate,DiagnosticFlags
"[""22745"",""22746"",""22747""] -> [""22748""]","[""22745"",""22746"",""22747""]","[""22748""]",22745 — POPPY'S PLAYHOUSE BEDROOM | 22746 — POPPY'S PLAYHOUSE LIVINGROOM | 22747 — POPPY'S PLAYHOUSE BATHROOM,22748 — POPPY'S PLAYHOUSE KITCHEN,3,1,0.008072679420994027,0.018777204170462598,0.007642473934608766,0.9467084639498433,0.40700808625336926,50.41796719870891,0.007490891584918069,18.41235716880134,0.6768582751016063,0.6207398812321411,0.40700808625336926,0.9467084639498433,0.5573122529644269,0.9279312597793807,0.00015158234969069663,15029.47754103744,False,False,False,False,
"[""22745"",""22747"",""22748""] -> [""22746""]","[""22745"",""22747"",""22748""]","[""22746""]",22745 — POPPY'S PLAYHOUSE BEDROOM | 22747 — POPPY'S PLAYHOUSE BATHROOM | 22748 — POPPY'S PLAYHOUSE KITCHEN,22746 — POPPY'S PLAYHOUSE LIVINGROOM,3,1,0.008148598036238486,0.014272699665958092,0.007642473934608766,0.9378881987577639,0.5354609929078015,65.7120391172195,0.007526171442138918,15.870209535378045,0.7366745958327827,0.7086625051061625,0.5354609929078015,0.9378881987577639,0.41438356164383555,0.9236154990918057,0.0001163024924698478,19684.69873365174,False,False,False,False,
"[""22745"",""22747""] -> [""22748""]","[""22745"",""22747""]","[""22748""]",22745 — POPPY'S PLAYHOUSE BEDROOM | 22747 — POPPY'S PLAYHOUSE BATHROOM,22748 — POPPY'S PLAYHOUSE KITCHEN,2,1,0.008781253163275635,0.018777204170462598,0.008148598036238486,0.9279538904899136,0.4339622641509434,49.41917242129303,0.007983710652719139,13.619372406113992,0.6809580773204285,0.6345840932017438,0.4339622641509434,0.9279538904899136,0.514993481095176,0.909176686319451,0.00016488738351934715,15705.725088329566,False,False,False,False,
"[""22746"",""22747"",""22748""] -> [""22745""]","[""22746"",""22747"",""22748""]","[""22745""]",22746 — POPPY'S PLAYHOUSE LIVINGROOM | 22747 — POPPY'S PLAYHOUSE BATHROOM | 22748 — POPPY'S PLAYHOUSE KITCHEN,22745 — POPPY'S PLAYHOUSE BEDROOM,3,1,0.00824982285656443,0.017790262172284643,0.007642473934608766,0.9263803680981595,0.4295874822190612,52.072328059412335,0.007495707423115578,13.341682272159797,0.6779839251586104,0.6308418263784159,0.4295874822190612,0.9263803680981595,0.5185694635488307,0.9085901059258749,0.0001467665114931874,15529.759714188165,False,False,False,False,
"[""22746"",""22747""] -> [""22748""]","[""22746"",""22747""]","[""22748""]",22746 — POPPY'S PLAYHOUSE LIVINGROOM | 22747 — POPPY'S PLAYHOUSE BATHROOM,22748 — POPPY'S PLAYHOUSE KITCHEN,2,1,0.008907784188683066,0.018777204170462598,0.00824982285656443,0.9261363636363635,0.4393530997304582,49.322378093604506,0.008082559574147108,13.284247081999872,0.6827447316834109,0.6378878288043527,0.4393530997304582,0.9261363636363635,0.5078124999999999,0.907359159465901,0.00016726328241732045,15870.422764878442,False,False,False,False,
"[""22745"",""22747""] -> [""22746""]","[""22745"",""22747""]","[""22746""]",22745 — POPPY'S PLAYHOUSE BEDROOM | 22747 — POPPY'S PLAYHOUSE BATHROOM,22746 — POPPY'S PLAYHOUSE LIVINGROOM,2,1,0.008781253163275635,0.014272699665958092,0.008072679420994027,0.9193083573487031,0.5656028368794326,64.41026427126127,0.007947347231903849,12.215977614854006,0.7424555971140678,0.7210848874324005,0.5656028368794326,0.9193083573487031,0.36655405405405406,0.905035657682745,0.0001253321890901776,20381.13831802471,False,False,False,False,
"[""22423"",""22698"",""22699""] -> [""22697""]","[""22423"",""22698"",""22699""]","[""22697""]",22423 — REGENCY CAKESTAND 3 TIER | 22698 — PINK REGENCY TEACUP AND SAUCER | 22699 — ROSES REGENCY TEACUP AND SAUCER,22697 — GREEN REGENCY TEACUP AND SAUCER,3,1,0.011868610183216924,0.03423929547525053,0.010906974390120458,0.9189765458422176,0.3185513673318552,26.839820536216607,0.010500601539176726,11.919520274265997,0.6187639565870364,0.5410556673984145,0.3185513673318552,0.9189765458422176,0.6355140186915889,0.884737250366967,0.0004063728509437316,11235.500474218705,False,False,False,False,
"[""22747"",""22748""] -> [""22746""]","[""22747"",""22748""]","[""22746""]",22747 — POPPY'S PLAYHOUSE BATHROOM | 22748 — POPPY'S PLAYHOUSE KITCHEN,22746 — POPPY'S PLAYHOUSE LIVINGROOM,2,1,0.009034315214090495,0.014272699665958092,0.00824982285656443,0.9131652661064426,0.5780141843971631,63.97985577209607,0.00812087878882612,11.35176278126622,0.7455897252518029,0.7265139203816633,0.5780141843971631,0.9131652661064426,0.34789915966386553,0.8988925664404844,0.0001289440677383095,20690.084581015537,False,False,False,False,
"[""20719"",""20723"",""22355"",""22356""] -> [""20724""]","[""20719"",""20723"",""22355"",""22356""]","[""20724""]",20719 — WOODLAND CHARLOTTE BAG | 20723 — STRAWBERRY CHARLOTTE BAG | 22355 — CHARLOTTE BAG SUKI DESIGN | 22356 — CHARLOTTE BAG PINK POLKADOT,20724 — RED RETROSPOT CHARLOTTE BAG,4,1,0.009616357930964672,0.05149812734082397,0.008781253163275635,0.9131578947368422,0.1705159705159705,17.731866028708136,0.008286028737991873,10.922142776075368,0.5418369326264063,0.3945985360532564,0.1705159705159705,0.9131578947368422,0.8002901353965184,0.8616597673960182,0.0004952244252837613,5832.062093681103,False,False,True,True,high directional confidence imbalance
"[""22746"",""22747""] -> [""22745""]","[""22746"",""22747""]","[""22745""]",22746 — POPPY'S PLAYHOUSE LIVINGROOM | 22747 — POPPY'S PLAYHOUSE BATHROOM,22745 — POPPY'S PLAYHOUSE BEDROOM,2,1,0.008907784188683066,0.017790262172284643,0.008072679420994027,0.9062499999999999,0.45376955903271693,50.94078947368421,0.007914207604903224,10.476903870162285,0.6800097795163584,0.6412711305472902,0.45376955903271693,0.9062499999999999,0.4769021739130433,0.8884597378277153,0.00015847181609080359,16044.179718027914,False,False,False,False,
