RuleKey,AntecedentKey,ConsequentKey,AntecedentItems,ConsequentItems,AntecedentLength,ConsequentLength,AntecedentSupport,ConsequentSupport,Support,Confidence,ReverseConfidence,Lift,Leverage,Conviction,Kulczynski,Cosine,AllConfidence,MaxConfidence,ImbalanceRatio,ConfidenceGapVsConsequentBaseRate,ExpectedSupportUnderIndependence,ChiSquare,NonPositiveDependence,WeakPositiveDependence,DirectionalConfidenceImbalance,MisleadingCandidate,DiagnosticFlags,UndirectedPairKey
"[""15036""] -> [""85123A""]","[""15036""]","[""85123A""]",15036 — ASSORTED COLOURS SILK FAN,85123A — WHITE HANGING HEART T-LIGHT HOLDER,1,1,0.0250784492357526,0.1382731045652394,0.008022067010831,0.3198789101917255,0.0580161054172767,2.3133848856398656,0.0045543919773217,1.2670198121303378,0.1889475078045011,0.1362282223859899,0.0580161054172767,0.3198789101917255,0.7287390029325512,0.1816058056264861,0.0034676750335092,281.3559333026649,False,False,False,False,,"[""15036""] || [""85123A""]"
"[""15056BL""] -> [""15056N""]","[""15056BL""]","[""15056N""]",15056BL — EDWARDIAN PARASOL BLACK,15056N — EDWARDIAN PARASOL NATURAL,1,1,0.0238890575969227,0.0290768296386273,0.0120457536187873,0.5042372881355932,0.4142732811140122,17.341549763242906,0.0113511355608142,1.95844331799388,0.4592552846248027,0.4570470827124528,0.4142732811140122,0.5042372881355932,0.126777983920841,0.4751604584969658,0.000694618057973,7734.308326942472,False,False,False,False,,"[""15056BL""] || [""15056N""]"
"[""20679""] -> [""15056BL""]","[""20679""]","[""15056BL""]",20679 — EDWARDIAN PARASOL RED,15056BL — EDWARDIAN PARASOL BLACK,1,1,0.0180939366332624,0.0238890575969227,0.0105779937240611,0.5846153846153846,0.4427966101694915,24.472099087353325,0.010145746629674,2.3498967131925936,0.513705997392438,0.508788473297721,0.4427966101694915,0.5846153846153846,0.1845286059629331,0.5607263270184619,0.000432247094387,9818.379081181052,False,False,False,False,,"[""15056BL""] || [""20679""]"
"[""20679""] -> [""15056N""]","[""20679""]","[""15056N""]",20679 — EDWARDIAN PARASOL RED,15056N — EDWARDIAN PARASOL NATURAL,1,1,0.0180939366332624,0.0290768296386273,0.0092367648547423,0.5104895104895105,0.3176675369886858,17.556573974328543,0.0087106505417648,1.9834573337382329,0.4140785237390981,0.4026983305847724,0.3176675369886858,0.5104895104895105,0.2895263509006004,0.4814126808508831,0.0005261143129774,5977.770456243273,False,False,False,False,,"[""15056N""] || [""20679""]"
"[""20674""] -> [""20675""]","[""20674""]","[""20675""]",20674 — GREEN POLKADOT BOWL,20675 — BLUE POLKADOT BOWL,1,1,0.011716772952728,0.0175372001214697,0.0078955359854236,0.6738660907127428,0.4502164502164502,38.42495301674566,0.0076900565933738,3.0124521612169493,0.5620412704645965,0.5508045018715148,0.4502164502164502,0.6738660907127428,0.2725118483412322,0.6563288905912731,0.0002054793920498,11712.94857763772,False,False,False,False,,"[""20674""] || [""20675""]"
"[""20674""] -> [""20676""]","[""20674""]","[""20676""]",20674 — GREEN POLKADOT BOWL,20676 — RED RETROSPOT BOWL,1,1,0.011716772952728,0.0244457941087154,0.0086547221378682,0.7386609071274297,0.3540372670807453,30.216277853051256,0.0083682963186472,3.7329057630385503,0.5463490871040875,0.5113838957757464,0.3540372670807453,0.7386609071274297,0.4627414903403863,0.7142151130187142,0.0002864258192209,10020.79280650094,False,False,False,False,,"[""20674""] || [""20676""]"
"[""20675""] -> [""20676""]","[""20675""]","[""20676""]",20675 — BLUE POLKADOT BOWL,20676 — RED RETROSPOT BOWL,1,1,0.0175372001214697,0.0244457941087154,0.01072983095455,0.6118326118326118,0.4389233954451346,25.028134046767587,0.0103011201711372,2.513230723727361,0.5253780036388732,0.5182158309330535,0.4389233954451346,0.6118326118326118,0.2210526315789473,0.5873868177238963,0.0004287107834127,10204.928252296711,False,False,False,False,,"[""20675""] || [""20676""]"
"[""20675""] -> [""20677""]","[""20675""]","[""20677""]",20675 — BLUE POLKADOT BOWL,20677 — PINK POLKADOT BOWL,1,1,0.0175372001214697,0.0192327158619293,0.0116408543374835,0.6637806637806637,0.6052631578947368,34.51310093415356,0.0113035663505335,2.917046042522244,0.6345219108377003,0.6338469694724028,0.6052631578947368,0.6637806637806637,0.0674723061430009,0.6445479479187344,0.00033728798695,15535.348265972414,False,False,False,False,,"[""20675""] || [""20677""]"
"[""20675""] -> [""21238""]","[""20675""]","[""21238""]",20675 — BLUE POLKADOT BOWL,21238 — RED RETROSPOT CUP,1,1,0.0175372001214697,0.0228515031885818,0.0080473732159125,0.4588744588744588,0.3521594684385382,20.080712200313528,0.0076466218314179,1.8057704221075008,0.4055169636564985,0.4019912754242948,0.3521594684385382,0.4588744588744588,0.164319248826291,0.436022955685877,0.0004007513844945,6005.656473763662,False,False,False,False,,"[""20675""] || [""21238""]"
"[""20675""] -> [""21239""]","[""20675""]","[""21239""]",20675 — BLUE POLKADOT BOWL,21239 — PINK POLKADOT CUP,1,1,0.0175372001214697,0.0190049600161959,0.007971454600668,0.4545454545454545,0.4194407456724367,23.91720130734777,0.0076381608135635,1.798490906636974,0.4369931001089456,0.4366404520845064,0.4194407456724367,0.4545454545454545,0.0513728963684677,0.4355404945292586,0.0003332937871045,7176.958375736353,False,False,False,False,,"[""20675""] || [""21239""]"
