RuleKey,AntecedentKey,ConsequentKey,AntecedentItems,ConsequentItems,AntecedentLength,ConsequentLength,AntecedentSupport,ConsequentSupport,Support,Confidence,ReverseConfidence,Lift,Leverage,Conviction,Kulczynski,Cosine,AllConfidence,MaxConfidence,ImbalanceRatio,ConfidenceGapVsConsequentBaseRate,ExpectedSupportUnderIndependence,ChiSquare,NonPositiveDependence,WeakPositiveDependence,DirectionalConfidenceImbalance,MisleadingCandidate,DiagnosticFlags
"[""22747""] -> [""22748""]","[""22747""]","[""22748""]",22747 — POPPY'S PLAYHOUSE BATHROOM,22748 — POPPY'S PLAYHOUSE KITCHEN,1,1,0.010173094442757364,0.018777204170462598,0.009034315214090495,0.8880597014925372,0.4811320754716981,47.29456491129259,0.008843292942693442,8.765590309410527,0.6845958884821177,0.653661997764809,0.4811320754716981,0.8880597014925372,0.43202033036848797,0.8692824973220746,0.00019102227139705346,16656.744013445674,False,False,False,False,
"[""22747""] -> [""22746""]","[""22747""]","[""22746""]",22747 — POPPY'S PLAYHOUSE BATHROOM,22746 — POPPY'S PLAYHOUSE LIVINGROOM,1,1,0.010173094442757364,0.014272699665958092,0.008907784188683066,0.8756218905472637,0.6241134751773051,61.34942309727956,0.008762586667028163,7.9252474946856974,0.7498676828622843,0.7392478752426513,0.6241134751773051,0.8756218905472637,0.263843648208469,0.8613491908813056,0.00014519752165490315,21417.18492643592,False,False,False,False,
"[""22747""] -> [""22745""]","[""22747""]","[""22745""]",22747 — POPPY'S PLAYHOUSE BATHROOM,22745 — POPPY'S PLAYHOUSE BEDROOM,1,1,0.010173094442757364,0.017790262172284643,0.008781253163275635,0.8631840796019901,0.4935988620199147,48.52003142183818,0.00860027114603557,7.17906026557712,0.6783914708109524,0.6527378335942001,0.4935988620199147,0.8631840796019901,0.3970976253298153,0.8453938174297054,0.00018098201724006546,16611.098345486338,False,False,False,False,
"[""22746""] -> [""22748""]","[""22746""]","[""22748""]",22746 — POPPY'S PLAYHOUSE LIVINGROOM,22748 — POPPY'S PLAYHOUSE KITCHEN,1,1,0.014272699665958092,0.018777204170462598,0.011995141208624355,0.8404255319148937,0.6388140161725068,44.75775649480989,0.011727139812932967,6.148996187198437,0.7396197740437003,0.7327179602933644,0.6388140161725068,0.8404255319148937,0.21394230769230776,0.8216483277444311,0.0002680013956913884,20965.040845350206,False,False,False,False,
"[""23171""] -> [""23170""]","[""23171""]","[""23170""]",23171 — REGENCY TEA PLATE GREEN,23170 — REGENCY TEA PLATE ROSES,1,1,0.009641664136046158,0.01126126126126126,0.008072679420994027,0.837270341207349,0.7168539325842697,74.3496062992126,0.007964102122164678,6.075959023539665,0.7770621368958093,0.7747261043302087,0.7168539325842697,0.837270341207349,0.12623274161735698,0.8260090799460877,0.00010857729882934862,23574.021356150097,False,False,False,False,
"[""22698""] -> [""22697""]","[""22698""]","[""22697""]",22698 — PINK REGENCY TEACUP AND SAUCER,22697 — GREEN REGENCY TEACUP AND SAUCER,1,1,0.026141309849175016,0.03423929547525053,0.021864561190403888,0.8363988383349469,0.6385809312638582,24.428038799441065,0.020969501158367907,5.903140874402763,0.7374898847994025,0.7308271677297852,0.6385809312638582,0.8363988383349469,0.21024967148488832,0.8021595428596964,0.0008950600320359802,20641.038123096405,False,False,False,False,
"[""22746""] -> [""22745""]","[""22746""]","[""22745""]",22746 — POPPY'S PLAYHOUSE LIVINGROOM,22745 — POPPY'S PLAYHOUSE BEDROOM,1,1,0.014272699665958092,0.017790262172284643,0.011666160542565036,0.8173758865248227,0.6557610241820768,45.945128779395304,0.011412245473601363,5.378313515872152,0.7365684553534497,0.7321224272546571,0.6557610241820768,0.8173758865248227,0.17245657568238212,0.7995856243525381,0.0002539150689636739,20934.649314303533,False,False,False,False,
"[""21987""] -> [""21988""]","[""21987""]","[""21988""]",21987 — PACK OF 6 SKULL PAPER CUPS,21988 — PACK OF 6 SKULL PAPER PLATES,1,1,0.009742888956372103,0.010527381313898168,0.007895535985423625,0.8103896103896102,0.7499999999999999,76.97922077922075,0.007792968878280929,5.218451482111628,0.7801948051948051,0.7796102922564631,0.7499999999999999,0.8103896103896102,0.06339468302658487,0.799862229075712,0.0001025671071426965,23879.157688979583,False,False,False,False,
"[""22745""] -> [""22748""]","[""22745""]","[""22748""]",22745 — POPPY'S PLAYHOUSE BEDROOM,22748 — POPPY'S PLAYHOUSE KITCHEN,1,1,0.017790262172284643,0.018777204170462598,0.01409555623038769,0.7923186344238976,0.7506738544474393,42.19577244999291,0.013761504845332643,4.724654968960033,0.7714962444356684,0.7712151990550489,0.7506738544474393,0.7923186344238976,0.043918918918919005,0.773541430253435,0.0003340513850550462,23244.472237221686,False,False,False,False,
"[""22579""] -> [""22578""]","[""22579""]","[""22578""]",22579 — WOODEN TREE CHRISTMAS SCANDINAVIAN,22578 — WOODEN STAR CHRISTMAS SCANDINAVIAN,1,1,0.013994331410061747,0.019435165502581234,0.011058811620609373,0.7902350813743219,0.5690104166666666,40.66006442133815,0.010786829473556851,4.674589254112694,0.6796227490204942,0.6705609539165102,0.5690104166666666,0.7902350813743219,0.24321266968325797,0.7707999158717406,0.0002719821470525211,17484.95339915587,False,False,False,False,
"[""22562""] -> [""22563""]","[""22562""]","[""22563""]",22562 — MONSTERS STENCIL CRAFT,22563 — HAPPY STENCIL CRAFT,1,1,0.00994533859702399,0.013488207308432027,0.007819617370179168,0.7862595419847328,0.5797373358348968,58.29236784440657,0.007685472581429958,4.615465887235549,0.6829984389098148,0.6751474003097362,0.5797373358348968,0.7862595419847328,0.22690437601296592,0.7727713346763008,0.00013414478874921012,17814.71471327821,False,False,False,False,
"[""22698""] -> [""22699""]","[""22698""]","[""22699""]",22698 — PINK REGENCY TEACUP AND SAUCER,22699 — ROSES REGENCY TEACUP AND SAUCER,1,1,0.026141309849175016,0.036036036036036036,0.020548638526166615,0.7860600193610842,0.5702247191011236,21.813165537270084,0.01960660934241256,4.5057682116505635,0.6781423692311039,0.6695004508861797,0.5702247191011236,0.7860600193610842,0.23768996960486327,0.7500239833250482,0.0009420291837540547,17177.377811900864,False,False,False,False,
"[""21124""] -> [""21122""]","[""21124""]","[""21122""]",21124 — SET/10 BLUE SPOTTY PARTY CANDLES,21122 — SET/10 PINK POLKADOT PARTY CANDLES,1,1,0.015917602996254682,0.020422107500759186,0.012349428079765159,0.7758346581875993,0.6047087980173482,37.98994095779576,0.012024357080221239,4.369890031078173,0.6902717281024737,0.6849482050584725,0.6047087980173482,0.7758346581875993,0.1877637130801687,0.7554125506868401,0.00032507099954391964,18232.57635765328,False,False,False,False,
"[""21086""] -> [""21094""]","[""21086""]","[""21094""]",21086 — SET/6 RED SPOTTY PAPER CUPS,21094 — SET/6 RED SPOTTY PAPER PLATES,1,1,0.02133313088369268,0.024901305800182204,0.016474339508047373,0.7722419928825622,0.6615853658536586,31.012108323930214,0.01594311669223723,4.281292704221074,0.7169136793681103,0.7147754901986835,0.6615853658536586,0.7722419928825622,0.11989795918367348,0.74734068708238,0.0005312228158101427,19813.410874312678,False,False,False,False,
"[""21902""] -> [""21901""]","[""21902""]","[""21901""]","21902 — KEY FOB , FRONT DOOR","21901 — KEY FOB , BACK DOOR",1,1,0.011995141208624355,0.017410669096062356,0.009262071059823868,0.7721518987341772,0.5319767441860465,44.349352369738,0.009053227625479969,4.31247539674506,0.6520643214601118,0.6409109556761231,0.5319767441860465,0.7721518987341772,0.2688442211055277,0.7547412296381149,0.0002088434343439001,15974.523250592716,False,False,False,False,
