Invoice,Fingerprint,TransactionCopies,SourceSheetCount,RowsPerCopy,UniqueItemsPerCopy,InvoiceStart,InvoiceEnd,RedundantTransactionCopies,RedundantRows
536365,5c69ee14d1b5c658ec1f9f98e5ea2b15d64cd62ca06c6f724e318824ec32367c,2,2,7,7,2010-12-01 08:26:00,2010-12-01 08:26:00,1,7
536366,fd8b06416535d7882735652b5b84c0ea8f3472a74944923874d1a38b856a9fe5,2,2,2,2,2010-12-01 08:28:00,2010-12-01 08:28:00,1,2
536367,ed7d582914d388d4152cfa5ae20e1889ac5f7300665e426ca3495501f8d09a01,2,2,12,12,2010-12-01 08:34:00,2010-12-01 08:34:00,1,12
536368,6dba548ec99c418ed54995aba8f29b3db2f93b53860e06207dbaa595af81e9af,2,2,4,4,2010-12-01 08:34:00,2010-12-01 08:34:00,1,4
536369,59d0c454b652fe9ea8730d4e18905e2066861c47b48ee1074071e34ef88c961c,2,2,1,1,2010-12-01 08:35:00,2010-12-01 08:35:00,1,1
536370,799a5a6dd518fbaea461f8bee89e159a3404c6cdf32ab13854729625704b523d,2,2,19,19,2010-12-01 08:45:00,2010-12-01 08:45:00,1,19
536371,e2393859d6f01d92b290eeba92bd68662fdfbf4de8e214e6dd29f64c75895903,2,2,1,1,2010-12-01 09:00:00,2010-12-01 09:00:00,1,1
536372,0956d92070dc6fd20e6b225f55755417cf4f3b0efd31ecb0d4af664a8b3cf3dd,2,2,2,2,2010-12-01 09:01:00,2010-12-01 09:01:00,1,2
536373,8b5c79a9e80ec7fd51aa50186677f8b8d12be0875702443c4333bec15f056ee6,2,2,16,16,2010-12-01 09:02:00,2010-12-01 09:02:00,1,16
536374,63416e829b7a1f942d3b2513fa8bd3e4e342d54c1bf19ebe05b1c79dc50dbd8a,2,2,1,1,2010-12-01 09:09:00,2010-12-01 09:09:00,1,1
536375,b30f36d49a9f6a6dcf383d9c3d8bd4bcfa57c0167e59a30b7d74697296740a87,2,2,16,16,2010-12-01 09:32:00,2010-12-01 09:32:00,1,16
536376,661c0cf9962d6d5e80b60e3a595867bfdbf61f9347f9046716bed421f550a3b4,2,2,2,2,2010-12-01 09:32:00,2010-12-01 09:32:00,1,2
536377,7955244ae982075781f114bf07c7f826fc1b219248cfd4e2c9fdbb678eca2d55,2,2,2,2,2010-12-01 09:34:00,2010-12-01 09:34:00,1,2
536378,a04004eb940c67ce040784f62c546e7261b8cea66233818a3eb7cc08ab6d6afc,2,2,19,19,2010-12-01 09:37:00,2010-12-01 09:37:00,1,19
536380,e5036c16ef4f56ebe343024916f0dfae2591d3f699391c91136dd00349f0cd92,2,2,1,1,2010-12-01 09:41:00,2010-12-01 09:41:00,1,1
536381,9bb015ca8350dbb4c110e65b6671f4c048d4662fa275d48dc3b42d50006200f0,2,2,35,34,2010-12-01 09:41:00,2010-12-01 09:41:00,1,35
536382,07669f1d218287a8feed9fad0fd735b4783a37045b27398395f3be3850784569,2,2,12,12,2010-12-01 09:45:00,2010-12-01 09:45:00,1,12
536384,88c6d818b5cc374ba57891cd044893dc7a02ccbe9a1ff2b00e0232900700308b,2,2,13,13,2010-12-01 09:53:00,2010-12-01 09:53:00,1,13
536385,71ffcfaaabddbdb8371eeb3249e5371ed0bd99573d50fa67ddd1ab507e8f012d,2,2,7,7,2010-12-01 09:56:00,2010-12-01 09:56:00,1,7
536386,9d3e290eb50335a436d59c1f9c9e097831ba922da8f85260736491c678c5898d,2,2,3,3,2010-12-01 09:57:00,2010-12-01 09:57:00,1,3
536387,8f59068cdb69c246dd8f43b98e23acd4038c9604824eeb4f69e527d2e9dd65f7,2,2,5,5,2010-12-01 09:58:00,2010-12-01 09:58:00,1,5
536388,e4c5bb67aa4061c4e8075a537cbacf1f5c931530cd09ffa5566930c1d6ea918a,2,2,14,14,2010-12-01 09:59:00,2010-12-01 09:59:00,1,14
536389,d617871d3efdb30e807c9ea0c3c267d94b34021ac9b8e644899b9caedc03e9fa,2,2,14,14,2010-12-01 10:03:00,2010-12-01 10:03:00,1,14
536390,ba470cd1559a7f87f8c44c5bbb25d49918996575fe7b7d6e01239de2c1b88716,2,2,24,24,2010-12-01 10:19:00,2010-12-01 10:19:00,1,24
536392,529901bd4a3ae3383810e4c798d188d56bdfb90332fb50cc0a32bd088b602bf5,2,2,10,10,2010-12-01 10:29:00,2010-12-01 10:29:00,1,10
536393,48e82eb7b53257f198edd0f581c9b6ba48e0ceaa8ce23b38c221c1b600138889,2,2,1,1,2010-12-01 10:37:00,2010-12-01 10:37:00,1,1
536394,a60028c9f286732d08bb8f27c6adccb4e5706a487d19eab2a51249a7d36e6fb3,2,2,11,11,2010-12-01 10:39:00,2010-12-01 10:39:00,1,11
536395,df11cafea3547bb024660f7e0495a156134b9379bfd809cd57011c0573de90df,2,2,14,14,2010-12-01 10:47:00,2010-12-01 10:47:00,1,14
536396,11f9cf8e9ad5759456bc4968b6ec22de124b010b9c1f2fb9d680f04b3746ae63,2,2,18,18,2010-12-01 10:51:00,2010-12-01 10:51:00,1,18
536397,61e04a871c825210774be013a2ac23b89a3e68ca4109e878fa8b2b5f75c7188e,2,2,2,2,2010-12-01 10:51:00,2010-12-01 10:51:00,1,2
536398,ceb1665da5fa36ce819192f9b9a7af21c4b2282ffb67d76b8de222f30eb86dff,2,2,17,17,2010-12-01 10:52:00,2010-12-01 10:52:00,1,17
536399,9e60efa0fcb2a9f89043801da626d36e6e82c4d419a36ef14a963f415c30e9e2,2,2,2,2,2010-12-01 10:52:00,2010-12-01 10:52:00,1,2
536400,bd390fbb6c4f2125faf791a0b2556ff293722d55ec5a6b111bdb4524b4f13dfd,2,2,1,1,2010-12-01 10:53:00,2010-12-01 10:53:00,1,1
536401,45bd65209ba31e82d49a7b6206f2c629cd00ac5d5e2289ebd289a79c38b0a56b,2,2,64,64,2010-12-01 11:21:00,2010-12-01 11:21:00,1,64
536402,5d4fec07445fa902516ec2291cbaeff5d220867f63e8a34f0688d8d47fd481ba,2,2,3,3,2010-12-01 11:22:00,2010-12-01 11:22:00,1,3
536403,240af105d88db85993b7810c0a9a9b9568315969b5affaa8e3a82f79a79ae915,2,2,1,1,2010-12-01 11:27:00,2010-12-01 11:27:00,1,1
536404,153c95d42428c53f4c0e6379556dac6f121dcb60a38e7edfcbe1d8254bdc31ac,2,2,28,28,2010-12-01 11:29:00,2010-12-01 11:29:00,1,28
536405,11d7ea230ff19a897a9897e52360c305818b017f4d571b8f3d3b9258b34caae1,2,2,1,1,2010-12-01 11:32:00,2010-12-01 11:32:00,1,1
536406,e428cfdc02acd1d3936a76d44a3b90c93c8d271f0374e7966a82aaa11ac12789,2,2,17,17,2010-12-01 11:33:00,2010-12-01 11:33:00,1,17
