Invoice,TransactionCopies,SourceSheetCount,UniqueFingerprints,MinimumLineCount,MaximumLineCount,TotalLinesAcrossCopies,MinimumUniqueItemCount,MaximumUniqueItemCount,EarliestTimestamp,LatestTimestamp,MatchingLineCopies,ExactSameTransaction
536365,2,2,1,7,7,14,7,7,2010-12-01 08:26:00,2010-12-01 08:26:00,7,True
536366,2,2,1,2,2,4,2,2,2010-12-01 08:28:00,2010-12-01 08:28:00,2,True
536367,2,2,1,12,12,24,12,12,2010-12-01 08:34:00,2010-12-01 08:34:00,12,True
536368,2,2,1,4,4,8,4,4,2010-12-01 08:34:00,2010-12-01 08:34:00,4,True
536369,2,2,1,1,1,2,1,1,2010-12-01 08:35:00,2010-12-01 08:35:00,1,True
536370,2,2,1,19,19,38,19,19,2010-12-01 08:45:00,2010-12-01 08:45:00,19,True
536371,2,2,1,1,1,2,1,1,2010-12-01 09:00:00,2010-12-01 09:00:00,1,True
536372,2,2,1,2,2,4,2,2,2010-12-01 09:01:00,2010-12-01 09:01:00,2,True
536373,2,2,1,16,16,32,16,16,2010-12-01 09:02:00,2010-12-01 09:02:00,16,True
536374,2,2,1,1,1,2,1,1,2010-12-01 09:09:00,2010-12-01 09:09:00,1,True
536375,2,2,1,16,16,32,16,16,2010-12-01 09:32:00,2010-12-01 09:32:00,16,True
536376,2,2,1,2,2,4,2,2,2010-12-01 09:32:00,2010-12-01 09:32:00,2,True
536377,2,2,1,2,2,4,2,2,2010-12-01 09:34:00,2010-12-01 09:34:00,2,True
536378,2,2,1,19,19,38,19,19,2010-12-01 09:37:00,2010-12-01 09:37:00,19,True
536380,2,2,1,1,1,2,1,1,2010-12-01 09:41:00,2010-12-01 09:41:00,1,True
536381,2,2,1,35,35,70,34,34,2010-12-01 09:41:00,2010-12-01 09:41:00,35,True
536382,2,2,1,12,12,24,12,12,2010-12-01 09:45:00,2010-12-01 09:45:00,12,True
536384,2,2,1,13,13,26,13,13,2010-12-01 09:53:00,2010-12-01 09:53:00,13,True
536385,2,2,1,7,7,14,7,7,2010-12-01 09:56:00,2010-12-01 09:56:00,7,True
536386,2,2,1,3,3,6,3,3,2010-12-01 09:57:00,2010-12-01 09:57:00,3,True
536387,2,2,1,5,5,10,5,5,2010-12-01 09:58:00,2010-12-01 09:58:00,5,True
536388,2,2,1,14,14,28,14,14,2010-12-01 09:59:00,2010-12-01 09:59:00,14,True
536389,2,2,1,14,14,28,14,14,2010-12-01 10:03:00,2010-12-01 10:03:00,14,True
536390,2,2,1,24,24,48,24,24,2010-12-01 10:19:00,2010-12-01 10:19:00,24,True
536392,2,2,1,10,10,20,10,10,2010-12-01 10:29:00,2010-12-01 10:29:00,10,True
536393,2,2,1,1,1,2,1,1,2010-12-01 10:37:00,2010-12-01 10:37:00,1,True
536394,2,2,1,11,11,22,11,11,2010-12-01 10:39:00,2010-12-01 10:39:00,11,True
536395,2,2,1,14,14,28,14,14,2010-12-01 10:47:00,2010-12-01 10:47:00,14,True
536396,2,2,1,18,18,36,18,18,2010-12-01 10:51:00,2010-12-01 10:51:00,18,True
536397,2,2,1,2,2,4,2,2,2010-12-01 10:51:00,2010-12-01 10:51:00,2,True
536398,2,2,1,17,17,34,17,17,2010-12-01 10:52:00,2010-12-01 10:52:00,17,True
536399,2,2,1,2,2,4,2,2,2010-12-01 10:52:00,2010-12-01 10:52:00,2,True
536400,2,2,1,1,1,2,1,1,2010-12-01 10:53:00,2010-12-01 10:53:00,1,True
536401,2,2,1,64,64,128,64,64,2010-12-01 11:21:00,2010-12-01 11:21:00,64,True
536402,2,2,1,3,3,6,3,3,2010-12-01 11:22:00,2010-12-01 11:22:00,3,True
536403,2,2,1,1,1,2,1,1,2010-12-01 11:27:00,2010-12-01 11:27:00,1,True
536404,2,2,1,28,28,56,28,28,2010-12-01 11:29:00,2010-12-01 11:29:00,28,True
536405,2,2,1,1,1,2,1,1,2010-12-01 11:32:00,2010-12-01 11:32:00,1,True
536406,2,2,1,17,17,34,17,17,2010-12-01 11:33:00,2010-12-01 11:33:00,17,True
536407,2,2,1,2,2,4,2,2,2010-12-01 11:34:00,2010-12-01 11:34:00,2,True
536408,2,2,1,48,48,96,48,48,2010-12-01 11:41:00,2010-12-01 11:41:00,48,True
536409,2,2,1,54,54,108,51,51,2010-12-01 11:45:00,2010-12-01 11:45:00,54,True
536412,2,2,1,68,68,136,54,54,2010-12-01 11:49:00,2010-12-01 11:49:00,68,True
536415,2,2,1,59,59,118,59,59,2010-12-01 11:57:00,2010-12-01 11:57:00,59,True
536416,2,2,1,6,6,12,6,6,2010-12-01 11:58:00,2010-12-01 11:58:00,6,True
536420,2,2,1,14,14,28,14,14,2010-12-01 12:03:00,2010-12-01 12:03:00,14,True
536423,2,2,1,9,9,18,9,9,2010-12-01 12:08:00,2010-12-01 12:08:00,9,True
536425,2,2,1,17,17,34,17,17,2010-12-01 12:08:00,2010-12-01 12:08:00,17,True
536437,2,2,1,6,6,12,6,6,2010-12-01 12:12:00,2010-12-01 12:12:00,6,True
536446,2,2,1,31,31,62,28,28,2010-12-01 12:15:00,2010-12-01 12:15:00,31,True
536460,2,2,1,14,14,28,14,14,2010-12-01 12:22:00,2010-12-01 12:22:00,14,True
536463,2,2,1,1,1,2,1,1,2010-12-01 12:22:00,2010-12-01 12:22:00,1,True
536464,2,2,1,81,81,162,74,74,2010-12-01 12:23:00,2010-12-01 12:23:00,81,True
