StockCode,LineCount,TotalQuantity,Revenue,DescriptionVariants,RepresentativeDescription,TransactionCount,Support,SupportPercentage
85123A,5729,96624,266760.86,2,WHITE HANGING HEART T-LIGHT HOLDER,5580,0.13830367322658998,13.8304
85099B,4134,98594,185247.78,3,JUMBO BAG RED RETROSPOT,4079,0.1011004808407277,10.11
22423,4041,27536,344069.3,1,REGENCY CAKESTAND 3 TIER,4007,0.09931591731522332,9.9316
21212,3239,96472,52948.8,2,PACK OF 72 RETROSPOT CAKE CASES,3173,0.07864472314479751,7.8645
20725,3140,40752,72001.35,2,LUNCH BAG RED RETROSPOT,3104,0.0769345164328558,7.6935
84879,2911,81590,131817.81,1,ASSORTED COLOUR BIRD ORNAMENT,2867,0.07106032816140385,7.106
47566,2729,28362,149109.35,1,PARTY BUNTING,2698,0.06687156099737272,6.6872
21232,2514,38901,50660.48,2,STRAWBERRY CERAMIC TRINKET BOX,2471,0.06124522877112973,6.1245
22383,2472,25403,43836.86,2,LUNCH BAG SUKI DESIGN,2433,0.06030337579933574,6.0303
20727,2440,27042,46283.89,1,LUNCH BAG BLACK SKULL.,2388,0.059188023595895506,5.9188
22197,2432,89860,80888.34,3,SMALL POPCORN HOLDER,2386,0.05913845238685372,5.9138
21931,2387,29489,62257.72,1,JUMBO STORAGE BAG SUKI,2363,0.058568383482873146,5.8568
22386,2303,39809,77049.38,2,JUMBO BAG PINK POLKADOT,2279,0.05648639270311803,5.6486
22411,2250,27669,58149.35,1,JUMBO SHOPPER VINTAGE RED PAISLEY,2232,0.055321469290636,5.5321
22469,2272,29013,51088.159999999996,1,HEART OF WICKER SMALL,2226,0.05517275566351063,5.5173
22382,2202,20386,34317.59,2,LUNCH BAG SPACEBOY DESIGN,2182,0.054082189064591286,5.4082
21080,2197,31801,26013.27,2,SET/20 RED RETROSPOT PAPER NAPKINS,2164,0.05363604818321519,5.3636
84991,2216,54537,27321.370000000003,1,60 TEATIME FAIRY CAKE CASES,2164,0.05363604818321519,5.3636
22384,2158,20988,34425.81,4,LUNCH BAG PINK POLKADOT,2126,0.052694195211421206,5.2694
22086,2168,36534,123002.89,1,PAPER CHAIN KIT 50'S CHRISTMAS,2117,0.05247112477073316,5.2471
82494L,2139,16025,48212.65,1,WOODEN FRAME ANTIQUE WHITE,2111,0.05232241114360779,5.2322
21754,2130,7796,47774.740000000005,1,HOME BUILDING BLOCK WORD,2108,0.05224805433004511,5.2248
22139,2110,10649,53085.61,3,RETROSPOT TEA SET CERAMIC 11 PC,2100,0.052049769493877955,5.205
20728,2118,24838,42695.64,1,LUNCH BAG CARS BLUE,2094,0.05190105586675259,5.1901
22457,2105,15687,48423.25000000001,1,NATURAL SLATE HEART CHALKBOARD,2092,0.0518514846577108,5.1851
20724,2082,32443,35558.229999999996,2,RED RETROSPOT CHARLOTTE BAG,2064,0.051157487731125766,5.1157
20914,2098,18952,53335.66,2,SET/5 RED RETROSPOT LID GLASS BOWLS,2062,0.051107916522083977,5.1108
82482,2068,17141,42396.03,1,WOODEN PICTURE FRAME WHITE FINISH,2047,0.05073613245427056,5.0736
21977,2056,56625,28413.63,1,PACK OF 60 PINK PAISLEY CAKE CASES,2024,0.05016606355028999,5.0166
22470,2059,18508,55772.020000000004,1,HEART OF WICKER LARGE,2017,0.04999256431864373,4.9993
20726,1983,22301,38883.729999999996,1,LUNCH BAG WOODLAND,1958,0.04853021365191097,4.853
21034,2042,4080,3876.0,1,REX CASH+CARRY JUMBO SHOPPER,1945,0.04820800079313935,4.8208
21790,1952,27904,24063.3,1,VINTAGE SNAP CARDS,1927,0.047761859911763245,4.7762
22138,1926,9366,45882.01,1,BAKING SET 9 PIECE RETROSPOT,1914,0.04743964705299162,4.744
85099C,1926,31170,60188.73,1,JUMBO BAG BAROQUE BLACK WHITE,1903,0.04716700540326178,4.7167
85099F,1899,37285,69459.81,1,JUMBO BAG STRAWBERRY,1879,0.04657215089476032,4.6572
21181,1875,25028,50818.920000000006,1,PLEASE ONE PERSON METAL SIGN,1857,0.04602686759530065,4.6027
22178,1864,40572,53105.59,1,VICTORIAN GLASS HANGING T-LIGHT,1839,0.04558072671392455,4.5581
84946,1833,37919,51148.47,2,ANTIQUE SILVER TEA GLASS ETCHED,1812,0.044911515391860404,4.4912
21733,1840,17960,51441.92,1,RED HANGING HEART T-LIGHT HOLDER,1807,0.044787587369255935,4.4788
22077,1822,17526,32142.039999999997,1,6 RIBBONS RUSTIC CHARM,1791,0.04439101769692163,4.4391
22112,1811,11532,60644.32,1,CHOCOLATE HOT WATER BOTTLE,1786,0.04426708967431715,4.4267
22355,1778,32635,46584.99,2,CHARLOTTE BAG SUKI DESIGN,1768,0.04382094879294106,4.3821
22111,1803,10163,51936.86,1,SCOTTIE DOG HOT WATER BOTTLE,1765,0.04374659197937838,4.3747
20685,1765,9968,67812.32,4,DOORMAT RED RETROSPOT,1762,0.04367223516581569,4.3672
21755,1741,5726,35356.39,1,LOVE BUILDING BLOCK WORD,1720,0.042631239775938135,4.2631
22090,1732,16798,50723.600000000006,2,PAPER BUNTING RETROSPOT,1715,0.042507311753333665,4.2507
22666,1718,10928,34421.200000000004,1,RECIPE BOX PANTRY YELLOW DESIGN,1704,0.04223467010360383,4.2235
21175,1701,20856,44282.23,2,GIN + TONIC DIET METAL SIGN,1689,0.041862886035790414,4.1863
48138,1692,10157,67629.75,2,DOORMAT UNION FLAG,1688,0.041838100431269516,4.1838
22114,1676,12420,63362.350000000006,1,HOT WATER BOTTLE TEA AND SYMPATHY,1659,0.041119317900163585,4.1119
21929,1651,25937,50300.82,1,JUMBO BAG PINK VINTAGE PAISLEY,1639,0.0406236058097457,4.0624
22356,1618,20226,21243.09,3,CHARLOTTE BAG PINK POLKADOT,1603,0.039731324046993505,3.9731
20719,1605,24901,28249.92,1,WOODLAND CHARLOTTE BAG,1596,0.039557824815347246,3.9558
22379,1608,16053,35362.76,1,RECYCLING BAG RETROSPOT,1595,0.039533039210826355,3.9533
21731,1586,29696,49508.34,1,RED TOADSTOOL LED NIGHT LIGHT,1569,0.038888613493283104,3.8889
21843,1566,6263,66348.54999999999,2,RED RETROSPOT CAKE STAND,1564,0.03876468547067863,3.8765
21928,1571,24743,47023.18,2,JUMBO BAG SCANDINAVIAN PAISLEY,1561,0.03869032865711595,3.869
84970S,1557,27143,22871.239999999998,1,HANGING HEART ZINC T-LIGHT HOLDER,1548,0.03836811579834432,3.8368
21231,1538,19672,24499.38,1,SWEETHEART CERAMIC TRINKET BOX,1510,0.03742626282655034,3.7426
22910,1529,19580,61671.840000000004,1,PAPER CHAIN KIT VINTAGE CHRISTMAS,1509,0.037401477222029446,3.7401
21213,1526,40563,21661.75,1,PACK OF 72 SKULL CAKE CASES,1502,0.03722797799038319,3.7228
85152,1503,16603,31976.56,1,HAND OVER THE CHOCOLATE SIGN,1491,0.03695533634065335,3.6955
84992,1529,35109,17440.21,1,72 SWEETHEART FAIRY CAKE CASES,1486,0.036831408318048875,3.6831
22699,1473,13314,39061.14,2,ROSES REGENCY TEACUP AND SAUCER,1460,0.036186982600505624,3.6187
21166,1465,20063,38428.21,1,COOK WITH WINE METAL SIGN,1455,0.036063054577901155,3.6063
21485,1469,7872,38585.35,2,RETROSPOT HEART HOT WATER BOTTLE,1440,0.03569127051008774,3.5691
22083,1445,13961,41256.41,2,PAPER CHAIN KIT RETROSPOT,1437,0.03561691369652506,3.5617
84836,1465,20057,24563.170000000002,1,ZINC METAL HEART DECORATION,1437,0.03561691369652506,3.5617
84978,1450,21819,28629.82,1,HANGING HEART JAR T-LIGHT HOLDER,1435,0.03556734248748327,3.5567
20712,1446,17936,37988.94,1,JUMBO BAG WOODLAND ANIMALS,1433,0.03551777127844148,3.5518
20972,1446,20704,25080.59,1,PINK CREAM FELT CRAFT TRINKET BOX,1431,0.03546820006939969,3.5468
22149,1443,12888,26783.86,1,FELTCRAFT 6 FLOWER FRIENDS,1418,0.03514598721062807,3.5146
22326,1429,15655,44943.43,2,ROUND SNACK BOXES SET OF4 WOODLAND,1416,0.03509641600158628,3.5096
22727,1428,9565,37857.61,1,ALARM CLOCK BAKELIKE RED,1408,0.03489813116541912,3.4898
22629,1416,21193,38691.7,1,SPACEBOY LUNCH BOX,1404,0.03479898874733555,3.4799
20723,1408,18441,20640.22,1,STRAWBERRY CHARLOTTE BAG,1400,0.03469984632925197,3.47
22697,1402,10077,31431.670000000002,2,GREEN REGENCY TEACUP AND SAUCER,1390,0.03445199028404303,3.4452
