TransactionID,InvoiceDate,LineCount,UniqueItemCount,TotalQuantity,Revenue
Year 2009-2010::492807,2009-12-20 12:28:00,25,24,142,229.37
Year 2009-2010::492807,2009-12-20 12:29:00,5,5,35,113.45
Year 2009-2010::494166,2010-01-12 09:47:00,206,206,417,1454.27
Year 2009-2010::494166,2010-01-12 09:48:00,33,33,52,177.22
Year 2009-2010::499967,2010-03-03 14:06:00,28,28,671,1115.33
Year 2009-2010::499967,2010-03-03 14:07:00,3,3,124,196.12
Year 2009-2010::500353,2010-03-07 15:24:00,23,23,233,439.55
Year 2009-2010::500353,2010-03-07 15:25:00,87,87,881,1527.29
Year 2009-2010::500827,2010-03-10 11:10:00,163,163,247,1365.41
Year 2009-2010::500827,2010-03-10 11:11:00,49,49,86,529.1899999999999
Year 2009-2010::501618,2010-03-18 11:09:00,12,12,136,197.4
Year 2009-2010::501618,2010-03-18 11:10:00,7,7,62,99.02000000000001
Year 2009-2010::501871,2010-03-21 12:23:00,2,2,16,51.599999999999994
Year 2009-2010::501871,2010-03-21 12:24:00,13,13,130,606.4000000000001
Year 2009-2010::503609,2010-04-06 10:21:00,1,1,12,59.400000000000006
Year 2009-2010::503609,2010-04-06 10:22:00,9,9,346,760.02
Year 2009-2010::505791,2010-04-26 11:07:00,43,41,112,202.18
Year 2009-2010::505791,2010-04-26 11:08:00,6,6,8,27.68
Year 2009-2010::509851,2010-05-26 09:04:00,29,29,250,563.12
Year 2009-2010::509851,2010-05-26 09:05:00,40,40,406,826.14
Year 2009-2010::510644,2010-06-02 12:36:00,8,8,16,94.75
Year 2009-2010::510644,2010-06-02 12:37:00,4,4,6,70.9
Year 2009-2010::513813,2010-06-29 09:51:00,1,1,2,17.0
Year 2009-2010::513813,2010-06-29 09:52:00,34,34,291,634.13
Year 2009-2010::515016,2010-07-07 17:25:00,13,13,49,42.24
Year 2009-2010::515016,2010-07-07 17:26:00,48,48,102,231.72
Year 2009-2010::518894,2010-08-12 13:23:00,2,2,4,29.96
Year 2009-2010::518894,2010-08-12 13:24:00,16,16,58,84.03999999999999
Year 2009-2010::519239,2010-08-15 13:41:00,2,2,36,30.599999999999998
Year 2009-2010::519239,2010-08-15 13:42:00,38,35,365,393.84
Year 2009-2010::519718,2010-08-19 16:18:00,2,2,14,23.7
Year 2009-2010::519718,2010-08-19 16:19:00,27,27,476,363.65999999999997
Year 2009-2010::519730,2010-08-19 19:39:00,107,105,171,252.97
Year 2009-2010::519730,2010-08-19 19:40:00,14,14,20,37.3
Year 2009-2010::519732,2010-08-19 20:00:00,22,22,33,74.4
Year 2009-2010::519732,2010-08-19 20:01:00,1,1,8,23.6
Year 2009-2010::519881,2010-08-22 11:27:00,7,7,43,115.00999999999999
Year 2009-2010::519881,2010-08-22 11:28:00,38,38,497,780.39
Year 2009-2010::520410,2010-08-26 09:34:00,45,45,359,517.04
Year 2009-2010::520410,2010-08-26 09:35:00,7,7,29,69.15
Year 2009-2010::520771,2010-08-31 11:19:00,41,41,464,2521.96
Year 2009-2010::520771,2010-08-31 11:20:00,78,78,1472,5729.73
Year 2009-2010::520878,2010-08-31 15:32:00,1,1,1,1.28
Year 2009-2010::520878,2010-08-31 15:36:00,114,114,181,834.31
Year 2009-2010::520899,2010-09-01 09:25:00,17,17,215,277.93
Year 2009-2010::520899,2010-09-01 09:26:00,8,8,77,133.05
Year 2009-2010::521226,2010-09-03 10:49:00,38,37,219,176.81
Year 2009-2010::521226,2010-09-03 10:50:00,6,6,80,57.25
Year 2009-2010::521651,2010-09-07 13:41:00,1,1,12,15.0
Year 2009-2010::521651,2010-09-07 13:42:00,12,12,111,165.87
Year 2009-2010::521901,2010-09-09 12:35:00,1,1,8,4.4
Year 2009-2010::521901,2010-09-09 12:37:00,48,48,211,354.88
Year 2009-2010::521922,2010-09-09 14:49:00,20,20,198,371.06
Year 2009-2010::521922,2010-09-09 14:50:00,18,18,192,271.46
Year 2009-2010::522719,2010-09-16 12:11:00,1,1,4,31.8
Year 2009-2010::522719,2010-09-16 12:12:00,7,7,31,160.27
Year 2009-2010::523203,2010-09-21 09:50:00,1,1,4,17.0
Year 2009-2010::523203,2010-09-21 09:51:00,21,21,264,371.68
Year 2009-2010::523766,2010-09-24 10:28:00,5,5,78,152.5
Year 2009-2010::523766,2010-09-24 10:29:00,37,37,696,1244.58
Year 2009-2010::524128,2010-09-27 14:35:00,6,6,66,102.6
Year 2009-2010::524128,2010-09-27 14:36:00,10,10,108,255.00000000000003
