TransactionID,SourceSheet,Invoice,Country,CustomerID,InvoiceStart,InvoiceEnd,TimestampCount,LineCount,UniqueItemCount,TotalQuantity,Revenue,DurationMinutes
Year 2009-2010::529368,Year 2009-2010,529368,United Kingdom,,2010-10-28 10:07:00,2010-10-28 10:16:00,2,29,29,50,290.21,9.0
Year 2009-2010::520878,Year 2009-2010,520878,United Kingdom,,2010-08-31 15:32:00,2010-08-31 15:36:00,2,115,115,182,835.59,4.0
Year 2009-2010::521901,Year 2009-2010,521901,United Kingdom,14688,2010-09-09 12:35:00,2010-09-09 12:37:00,2,49,49,219,359.28,2.0
Year 2009-2010::492807,Year 2009-2010,492807,United Kingdom,17211,2009-12-20 12:28:00,2009-12-20 12:29:00,2,30,28,177,342.82,1.0
Year 2009-2010::494166,Year 2009-2010,494166,United Kingdom,,2010-01-12 09:47:00,2010-01-12 09:48:00,2,239,239,469,1631.49,1.0
Year 2009-2010::499967,Year 2009-2010,499967,United Kingdom,16636,2010-03-03 14:06:00,2010-03-03 14:07:00,2,31,31,795,1311.45,1.0
Year 2009-2010::500353,Year 2009-2010,500353,Germany,12668,2010-03-07 15:24:00,2010-03-07 15:25:00,2,110,110,1114,1966.84,1.0
Year 2009-2010::500827,Year 2009-2010,500827,United Kingdom,,2010-03-10 11:10:00,2010-03-10 11:11:00,2,212,212,333,1894.6,1.0
Year 2009-2010::501618,Year 2009-2010,501618,United Kingdom,15819,2010-03-18 11:09:00,2010-03-18 11:10:00,2,19,19,198,296.42,1.0
Year 2009-2010::501871,Year 2009-2010,501871,United Kingdom,14970,2010-03-21 12:23:00,2010-03-21 12:24:00,2,15,15,146,658.0,1.0
Year 2009-2010::503609,Year 2009-2010,503609,United Kingdom,17457,2010-04-06 10:21:00,2010-04-06 10:22:00,2,10,10,358,819.42,1.0
Year 2009-2010::505791,Year 2009-2010,505791,United Kingdom,16335,2010-04-26 11:07:00,2010-04-26 11:08:00,2,49,47,120,229.86,1.0
Year 2009-2010::509851,Year 2009-2010,509851,EIRE,14911,2010-05-26 09:04:00,2010-05-26 09:05:00,2,69,69,656,1389.26,1.0
Year 2009-2010::510644,Year 2009-2010,510644,United Kingdom,14527,2010-06-02 12:36:00,2010-06-02 12:37:00,2,12,12,22,165.65,1.0
Year 2009-2010::513813,Year 2009-2010,513813,United Kingdom,13023,2010-06-29 09:51:00,2010-06-29 09:52:00,2,35,35,293,651.13,1.0
Year 2009-2010::515016,Year 2009-2010,515016,United Kingdom,13677,2010-07-07 17:25:00,2010-07-07 17:26:00,2,61,61,151,273.96,1.0
Year 2009-2010::518894,Year 2009-2010,518894,United Kingdom,12835,2010-08-12 13:23:00,2010-08-12 13:24:00,2,18,18,62,114.0,1.0
Year 2009-2010::519239,Year 2009-2010,519239,United Kingdom,14996,2010-08-15 13:41:00,2010-08-15 13:42:00,2,40,37,401,424.44,1.0
Year 2009-2010::519718,Year 2009-2010,519718,United Kingdom,13479,2010-08-19 16:18:00,2010-08-19 16:19:00,2,29,29,490,387.36,1.0
Year 2009-2010::519730,Year 2009-2010,519730,United Kingdom,16549,2010-08-19 19:39:00,2010-08-19 19:40:00,2,121,119,191,290.27,1.0
Year 2009-2010::519732,Year 2009-2010,519732,United Kingdom,17884,2010-08-19 20:00:00,2010-08-19 20:01:00,2,23,23,41,98.0,1.0
