RuleKey,AntecedentKey,ConsequentKey,AntecedentItems,ConsequentItems,AntecedentLength,ConsequentLength,AntecedentSupport,ConsequentSupport,Support,Confidence,ReverseConfidence,Lift,Leverage,Conviction,Kulczynski,Cosine,AllConfidence,MaxConfidence,ImbalanceRatio,ConfidenceGapVsConsequentBaseRate,ExpectedSupportUnderIndependence,ChiSquare,NonPositiveDependence,WeakPositiveDependence,DirectionalConfidenceImbalance,MisleadingCandidate,DiagnosticFlags
"[""21988""] -> [""21987""]","[""21988""]","[""21987""]",21988 — PACK OF 6 SKULL PAPER PLATES,21987 — PACK OF 6 SKULL PAPER CUPS,1,1,0.010527381313898168,0.009742888956372103,0.007895535985423625,0.7499999999999999,0.8103896103896102,76.97922077922077,0.007792968878280929,3.96102844417451,0.7801948051948051,0.7796102922564631,0.7499999999999999,0.8103896103896102,0.06339468302658487,0.7402571110436278,0.0001025671071426965,23879.15768897958,False,False,False,False,
"[""21987""] -> [""21988""]","[""21987""]","[""21988""]",21987 — PACK OF 6 SKULL PAPER CUPS,21988 — PACK OF 6 SKULL PAPER PLATES,1,1,0.009742888956372103,0.010527381313898168,0.007895535985423625,0.8103896103896102,0.7499999999999999,76.97922077922075,0.007792968878280929,5.218451482111628,0.7801948051948051,0.7796102922564631,0.7499999999999999,0.8103896103896102,0.06339468302658487,0.799862229075712,0.0001025671071426965,23879.157688979583,False,False,False,False,
"[""23171""] -> [""23170""]","[""23171""]","[""23170""]",23171 — REGENCY TEA PLATE GREEN,23170 — REGENCY TEA PLATE ROSES,1,1,0.009641664136046158,0.01126126126126126,0.008072679420994027,0.837270341207349,0.7168539325842697,74.3496062992126,0.007964102122164678,6.075959023539665,0.7770621368958093,0.7747261043302087,0.7168539325842697,0.837270341207349,0.12623274161735698,0.8260090799460877,0.00010857729882934862,23574.021356150097,False,False,False,False,
"[""23170""] -> [""23171""]","[""23170""]","[""23171""]",23170 — REGENCY TEA PLATE ROSES,23171 — REGENCY TEA PLATE GREEN,1,1,0.01126126126126126,0.009641664136046158,0.008072679420994027,0.7168539325842697,0.837270341207349,74.3496062992126,0.007964102122164678,3.4976941226941225,0.7770621368958093,0.7747261043302087,0.7168539325842697,0.837270341207349,0.12623274161735698,0.7072122684482235,0.00010857729882934862,23574.021356150097,False,False,False,False,
"[""22746""] -> [""22747""]","[""22746""]","[""22747""]",22746 — POPPY'S PLAYHOUSE LIVINGROOM,22747 — POPPY'S PLAYHOUSE BATHROOM,1,1,0.014272699665958092,0.010173094442757364,0.008907784188683066,0.6241134751773051,0.8756218905472637,61.34942309727957,0.008762586667028163,2.633313088369269,0.7498676828622843,0.7392478752426513,0.6241134751773051,0.8756218905472637,0.263843648208469,0.6139403807345477,0.00014519752165490315,21417.18492643592,False,False,False,False,
"[""22747""] -> [""22746""]","[""22747""]","[""22746""]",22747 — POPPY'S PLAYHOUSE BATHROOM,22746 — POPPY'S PLAYHOUSE LIVINGROOM,1,1,0.010173094442757364,0.014272699665958092,0.008907784188683066,0.8756218905472637,0.6241134751773051,61.34942309727956,0.008762586667028163,7.9252474946856974,0.7498676828622843,0.7392478752426513,0.6241134751773051,0.8756218905472637,0.263843648208469,0.8613491908813056,0.00014519752165490315,21417.18492643592,False,False,False,False,
"[""22562""] -> [""22563""]","[""22562""]","[""22563""]",22562 — MONSTERS STENCIL CRAFT,22563 — HAPPY STENCIL CRAFT,1,1,0.00994533859702399,0.013488207308432027,0.007819617370179168,0.7862595419847328,0.5797373358348968,58.29236784440657,0.007685472581429958,4.615465887235549,0.6829984389098148,0.6751474003097362,0.5797373358348968,0.7862595419847328,0.22690437601296592,0.7727713346763008,0.00013414478874921012,17814.71471327821,False,False,False,False,
"[""22563""] -> [""22562""]","[""22563""]","[""22562""]",22563 — HAPPY STENCIL CRAFT,22562 — MONSTERS STENCIL CRAFT,1,1,0.013488207308432027,0.00994533859702399,0.007819617370179168,0.5797373358348968,0.7862595419847328,58.29236784440657,0.007685472581429958,2.3557997077133317,0.6829984389098148,0.6751474003097362,0.5797373358348968,0.7862595419847328,0.22690437601296592,0.5697919972378729,0.00013414478874921012,17814.714713278212,False,False,False,False,
"[""22302""] -> [""22303""]","[""22302""]","[""22303""]",22302 — COFFEE MUG PEARS DESIGN,22303 — COFFEE MUG APPLES DESIGN,1,1,0.010021257212268448,0.013665350744002429,0.007541249114282822,0.7525252525252525,0.5518518518518518,55.06812570145903,0.007404305119581309,3.9855971541364794,0.6521885521885522,0.6444241260003718,0.5518518518518518,0.7525252525252525,0.225705329153605,0.73885990178125,0.00013694399470151234,16201.246857174301,False,False,False,False,
"[""22303""] -> [""22302""]","[""22303""]","[""22302""]",22303 — COFFEE MUG APPLES DESIGN,22302 — COFFEE MUG PEARS DESIGN,1,1,0.013665350744002429,0.010021257212268448,0.007541249114282822,0.5518518518518518,0.7525252525252525,55.06812570145903,0.007404305119581309,2.2090434756420456,0.6521885521885522,0.6444241260003718,0.5518518518518518,0.7525252525252525,0.225705329153605,0.5418305946395834,0.00013694399470151234,16201.246857174305,False,False,False,False,
"[""22634""] -> [""22635""]","[""22634""]","[""22635""]",22634 — CHILDS BREAKFAST SET SPACEBOY,22635 — CHILDS BREAKFAST SET DOLLY GIRL,1,1,0.012627796335661504,0.0122735094645207,0.007920842190505113,0.6272545090180361,0.6453608247422681,51.10636943991076,0.007765854812663332,2.6498683805226038,0.6363076668801522,0.6362432610748708,0.6272545090180361,0.6453608247422681,0.02086438152011925,0.6149809995535155,0.00015498737784178129,15766.582999246477,False,False,False,False,
"[""22635""] -> [""22634""]","[""22635""]","[""22634""]",22635 — CHILDS BREAKFAST SET DOLLY GIRL,22634 — CHILDS BREAKFAST SET SPACEBOY,1,1,0.0122735094645207,0.012627796335661504,0.007920842190505113,0.6453608247422681,0.6272545090180361,51.10636943991075,0.007765854812663332,2.7841599928907224,0.6363076668801522,0.6362432610748708,0.6272545090180361,0.6453608247422681,0.02086438152011925,0.6327330284066066,0.00015498737784178129,15766.582999246477,False,False,False,False,
"[""23295""] -> [""23293""]","[""23295""]","[""23293""]",23295 — SET OF 12 MINI LOAF BAKING CASES,23293 — SET OF 12 FAIRY CAKE BAKING CASES,1,1,0.011235955056179775,0.013969025204980261,0.00774369875493471,0.6891891891891891,0.5543478260869564,49.336956521739125,0.007586743415552909,3.1724474841231065,0.6217685076380728,0.6181023610937425,0.5543478260869564,0.6891891891891891,0.1565217391304348,0.6752201639842089,0.00015695533938180067,14863.615145433729,False,False,False,False,
"[""23293""] -> [""23295""]","[""23293""]","[""23295""]",23293 — SET OF 12 FAIRY CAKE BAKING CASES,23295 — SET OF 12 MINI LOAF BAKING CASES,1,1,0.013969025204980261,0.011235955056179775,0.00774369875493471,0.5543478260869564,0.6891891891891891,49.336956521739125,0.007586743415552909,2.2186900520690593,0.6217685076380728,0.6181023610937425,0.5543478260869564,0.6891891891891891,0.1565217391304348,0.5431118710307766,0.00015695533938180067,14863.615145433729,False,False,False,False,
"[""22747""] -> [""22745""]","[""22747""]","[""22745""]",22747 — POPPY'S PLAYHOUSE BATHROOM,22745 — POPPY'S PLAYHOUSE BEDROOM,1,1,0.010173094442757364,0.017790262172284643,0.008781253163275635,0.8631840796019901,0.4935988620199147,48.52003142183818,0.00860027114603557,7.17906026557712,0.6783914708109524,0.6527378335942001,0.4935988620199147,0.8631840796019901,0.3970976253298153,0.8453938174297054,0.00018098201724006546,16611.098345486338,False,False,False,False,
