RuleKey,AntecedentKey,ConsequentKey,AntecedentItems,ConsequentItems,AntecedentLength,ConsequentLength,AntecedentSupport,ConsequentSupport,Support,Confidence,ReverseConfidence,Lift,Leverage,Conviction,Kulczynski,Cosine,AllConfidence,MaxConfidence,ImbalanceRatio,ConfidenceGapVsConsequentBaseRate,ExpectedSupportUnderIndependence,ChiSquare,NonPositiveDependence,WeakPositiveDependence,DirectionalConfidenceImbalance,MisleadingCandidate,DiagnosticFlags
"[""22386""] -> [""85099B""]","[""22386""]","[""85099B""]",22386 — JUMBO BAG PINK POLKADOT,85099B — JUMBO BAG RED RETROSPOT,1,1,0.05681243040793603,0.10155380099200324,0.03613726085636198,0.6360801781737193,0.35584350859705954,6.263479770922674,0.03036774260484241,2.4688025909093665,0.4959618433853894,0.4757572935335611,0.35584350859705954,0.6360801781737193,0.3660455486542443,0.534526377181716,0.0057695182515195695,7453.638065969519,False,False,False,False,
"[""85099B""] -> [""22386""]","[""85099B""]","[""22386""]",85099B — JUMBO BAG RED RETROSPOT,22386 — JUMBO BAG PINK POLKADOT,1,1,0.10155380099200324,0.05681243040793603,0.03613726085636198,0.35584350859705954,0.6360801781737193,6.263479770922674,0.03036774260484241,1.4642211670301557,0.4959618433853894,0.4757572935335611,0.35584350859705954,0.6360801781737193,0.3660455486542443,0.2990310781891235,0.0057695182515195695,7453.638065969519,False,False,False,False,
"[""21931""] -> [""85099B""]","[""21931""]","[""85099B""]",21931 — JUMBO STORAGE BAG SUKI,85099B — JUMBO BAG RED RETROSPOT,1,1,0.05893815163478085,0.10155380099200324,0.03360664034821338,0.5702018033490769,0.33092449538998253,5.614775594603071,0.027621247026258337,2.0903908066829415,0.4505631493695297,0.4343889317693895,0.33092449538998253,0.5702018033490769,0.33585959313921027,0.46864800235707366,0.0059853933219550445,5957.397833863552,False,False,False,False,
"[""85099B""] -> [""21931""]","[""85099B""]","[""21931""]",85099B — JUMBO BAG RED RETROSPOT,21931 — JUMBO STORAGE BAG SUKI,1,1,0.10155380099200324,0.05893815163478085,0.03360664034821338,0.33092449538998253,0.5702018033490769,5.61477559460307,0.027621247026258337,1.4065106880780724,0.4505631493695297,0.4343889317693895,0.33092449538998253,0.5702018033490769,0.33585959313921027,0.2719863437552017,0.0059853933219550445,5957.3978338635525,False,False,False,False,
"[""21733""] -> [""85123A""]","[""21733""]","[""85123A""]",21733 — RED HANGING HEART T-LIGHT HOLDER,85123A — WHITE HANGING HEART T-LIGHT HOLDER,1,1,0.04453892094341533,0.1382731045652394,0.031430306711205586,0.7056818181818181,0.22730600292825767,5.103536370291494,0.025271771838373785,2.927875165955942,0.46649391055503786,0.4005068207035363,0.22730600292825767,0.7056818181818181,0.6191909060514877,0.5674087136165786,0.006158534872831798,4977.190999572547,False,False,False,False,
"[""20727""] -> [""20725""]","[""20727""]","[""20725""]",20727 — LUNCH BAG BLACK SKULL.,20725 — LUNCH BAG RED RETROSPOT,1,1,0.05949488814657354,0.07733576272902115,0.030418058507946148,0.5112717992343684,0.393324607329843,6.611065581984719,0.025816975954653085,1.8878882696467112,0.4522982032821057,0.44843704092400777,0.393324607329843,0.5112717992343684,0.16765755053507722,0.43393603650534723,0.004601082553293064,6596.580153871446,False,False,False,False,
"[""20725""] -> [""20727""]","[""20725""]","[""20727""]",20725 — LUNCH BAG RED RETROSPOT,20727 — LUNCH BAG BLACK SKULL.,1,1,0.07733576272902115,0.05949488814657354,0.030418058507946148,0.393324607329843,0.5112717992343684,6.611065581984719,0.025816975954653085,1.550260853195292,0.4522982032821057,0.44843704092400777,0.393324607329843,0.5112717992343684,0.16765755053507722,0.3338297191832694,0.004601082553293064,6596.580153871445,False,False,False,False,
"[""84991""] -> [""21212""]","[""84991""]","[""21212""]",84991 — 60 TEATIME FAIRY CAKE CASES,21212 — PACK OF 72 RETROSPOT CAKE CASES,1,1,0.05382629820832068,0.07890474744407329,0.03029152748253872,0.5627644569816643,0.38389993585631815,7.132200218758001,0.0260443770165618,2.106633980845652,0.47333219641899127,0.4648066683444598,0.38389993585631815,0.5627644569816643,0.24481225296442688,0.48385970953759105,0.004247150465976918,7241.488739920425,False,False,False,False,
"[""21212""] -> [""84991""]","[""21212""]","[""84991""]",21212 — PACK OF 72 RETROSPOT CAKE CASES,84991 — 60 TEATIME FAIRY CAKE CASES,1,1,0.07890474744407329,0.05382629820832068,0.03029152748253872,0.38389993585631815,0.5627644569816643,7.132200218758001,0.0260443770165618,1.5357467996806125,0.47333219641899127,0.4648066683444598,0.38389993585631815,0.5627644569816643,0.24481225296442688,0.33007363764799746,0.004247150465976918,7241.488739920426,False,False,False,False,
"[""85099F""] -> [""85099B""]","[""85099F""]","[""85099B""]",85099F — JUMBO BAG STRAWBERRY,85099B — JUMBO BAG RED RETROSPOT,1,1,0.04694301042615649,0.10155380099200324,0.03008907784188683,0.6409703504043127,0.2962870670321455,6.3116332834729185,0.025321836703103402,2.502428977717469,0.46862870871822915,0.43578805074928384,0.2962870670321455,0.6409703504043127,0.4612096601838,0.5394165494123094,0.004767241138783429,6207.051055848758,False,False,False,False,
